channel,gain_fraction
shots_in_burst,0.3831208083674642
victim_shot,0.10483655146787084
target_error_yaw,0.046097020708112876
pitch_acceleration,0.03482540007456779
attacker_speed,0.03126776502876
closing_speed,0.031184355384181916
delta_yaw,0.029694932474152974
lateral_speed,0.02380689028012169
victim_speed,0.023747274938290753
victim_vertical_speed,0.021778707099972195
delta_pitch,0.019429556685433853
target_error_pitch,0.017989680119475833
attacker_vertical_speed,0.016864273501505066
target_pitch_rate,0.015908317930990675
time_since_victim_noise,0.015710568294634315
target_yaw_rate,0.014849077186975378
relative_height,0.014681481122503184
yaw_acceleration,0.01422405310454914
time_since_shot,0.01392195729175944
distance,0.011429793844047971
punch_pitch,0.011308310418339676
ammo,0.010830490045388037
victim_health,0.010331662645269812
punch_yaw,0.010154502289547836
health,0.0095692376748424
weapon_sniper,0.00923729071862366
scoped,0.009056035815211033
crouch,0.0065970257231653204
shot,0.0048973802012541225
weapon_pistol,0.004709254639146778
weapon_auto,0.0042067559547482114
recoil_index,0.004128425895325309
victim_crouch,0.004084369981237556
armor,0.0037952865720552423
flash_remaining,0.0034105578825280388
airborne,0.0028392331031185237
weapon_shotgun,0.0020440897712770845
weapon_smg,0.0018480124273834771
victim_footstep,0.001583613336167818
